seqn.,myunique_id,myanger_direction,Target,mydeveloper_comment,R11,R12,R31,R32,R51,R52,POS,DEP,Targets
626,317376_1,ob,that the main complaint,'What is annoying is that the main complaint is that the artifact ca not be found even though the POM contains the repository reference maven-play-plugin Maven Play Plugin ' ,,,,,,,"[(""'"", '``'), ('What', 'WP'), ('is', 'VBZ'), ('annoying', 'JJ'), ('is', 'VBZ'), ('that', 'IN'), ('the', 'DT'), ('main', 'JJ'), ('complaint', 'NN'), ('is', 'VBZ'), ('that', 'IN'), ('the', 'DT'), ('artifact', 'NN'), ('ca', 'MD'), ('not', 'RB'), ('be', 'VB'), ('found', 'VBN'), ('even', 'RB'), ('though', 'IN'), ('the', 'DT'), ('POM', 'NN'), ('contains', 'VBZ'), ('the', 'DT'), ('repository', 'NN'), ('reference', 'NN'), ('maven', 'NN'), ('-', 'HYPH'), ('play', 'NN'), ('-', 'HYPH'), ('plugin', 'NN'), ('Maven', 'NNP'), ('Play', 'NNP'), ('Plugin', 'NNP'), (""'"", ""''"")]","[('ROOT', 0, 5), ('punct', 5, 1), ('nsubj', 4, 2), ('cop', 4, 3), ('csubj', 5, 4), ('mark', 10, 6), ('det', 9, 7), ('amod', 9, 8), ('nsubj', 10, 9), ('ccomp', 5, 10), ('mark', 17, 11), ('det', 13, 12), ('nsubj:pass', 17, 13), ('aux', 17, 14), ('advmod', 17, 15), ('aux:pass', 17, 16), ('ccomp', 10, 17), ('advmod', 22, 18), ('mark', 22, 19), ('det', 21, 20), ('nsubj', 22, 21), ('advcl', 17, 22), ('det', 33, 23), ('compound', 25, 24), ('compound', 33, 25), ('compound', 28, 26), ('punct', 28, 27), ('compound', 30, 28), ('punct', 30, 29), ('compound', 33, 30), ('compound', 33, 31), ('compound', 33, 32), ('obj', 22, 33), ('punct', 5, 34)]",I 
627,338289_1,self,I,'I am stupid and forgot what file this bug was talking about I wrote up the description for this in an email a few weeks back.' ,,,,,I ,,"[(""'"", '``'), ('I', 'PRP'), ('am', 'VBP'), ('stupid', 'JJ'), ('and', 'CC'), ('forgot', 'VBD'), ('what', 'WP'), ('file', 'NN'), ('this', 'DT'), ('bug', 'NN'), ('was', 'VBD'), ('talking', 'VBG'), ('about', 'IN'), ('I', 'PRP'), ('wrote', 'VBD'), ('up', 'IN'), ('the', 'DT'), ('description', 'NN'), ('for', 'IN'), ('this', 'DT'), ('in', 'IN'), ('an', 'DT'), ('email', 'NN'), ('a', 'DT'), ('few', 'JJ'), ('weeks', 'NNS'), ('back', 'RB'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 4), ('punct', 4, 1), ('nsubj', 4, 2), ('cop', 4, 3), ('cc', 6, 5), ('conj', 4, 6), ('det', 8, 7), ('obj', 12, 8), ('det', 10, 9), ('nsubj', 12, 10), ('aux', 12, 11), ('ccomp', 6, 12), ('mark', 15, 13), ('nsubj', 15, 14), ('advcl', 12, 15), ('compound:prt', 15, 16), ('det', 18, 17), ('obj', 15, 18), ('case', 20, 19), ('nmod', 18, 20), ('case', 23, 21), ('det', 23, 22), ('obl', 15, 23), ('det', 26, 24), ('amod', 26, 25), ('obl:npmod', 27, 26), ('advmod', 15, 27), ('punct', 4, 28), ('punct', 4, 29)]",
628,734624_1,self,me,'Shame on me lack of a nice formatter I made an error with getting the month Date.getMonth returns 0 to 11 not 1 to 12.',,,,,I ,,"[(""'"", '``'), ('Shame', 'NN'), ('on', 'IN'), ('me', 'PRP'), ('lack', 'NN'), ('of', 'IN'), ('a', 'DT'), ('nice', 'JJ'), ('formatter', 'NN'), ('I', 'PRP'), ('made', 'VBD'), ('an', 'DT'), ('error', 'NN'), ('with', 'IN'), ('getting', 'VBG'), ('the', 'DT'), ('month', 'NN'), ('Date.getMonth', 'NNP'), ('returns', 'VBZ'), ('0', 'CD'), ('to', 'IN'), ('11', 'CD'), ('not', 'RB'), ('1', 'CD'), ('to', 'IN'), ('12', 'CD'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 11), ('punct', 11, 1), ('compound', 5, 2), ('case', 4, 3), ('nmod', 2, 4), ('nsubj', 11, 5), ('case', 9, 6), ('det', 9, 7), ('amod', 9, 8), ('nmod', 5, 9), ('nsubj', 11, 10), ('det', 13, 12), ('obj', 11, 13), ('case', 15, 14), ('acl', 13, 15), ('det', 17, 16), ('obl:tmod', 19, 17), ('nsubj', 19, 18), ('ccomp', 15, 19), ('xcomp', 19, 20), ('dep', 20, 21), ('dep', 21, 22), ('advmod', 22, 23), ('obl:npmod', 23, 24), ('case', 26, 25), ('nmod', 24, 26), ('punct', 11, 27), ('punct', 11, 28)]",I 
629,1024732_5,ob,hack,'I did it previously but it was an ugly hack something I would not like to repeat.' ,,,,,I ,I ,"[(""'"", '``'), ('I', 'PRP'), ('did', 'VBD'), ('it', 'PRP'), ('previously', 'RB'), ('but', 'CC'), ('it', 'PRP'), ('was', 'VBD'), ('an', 'DT'), ('ugly', 'JJ'), ('hack', 'NN'), ('something', 'NN'), ('I', 'PRP'), ('would', 'MD'), ('not', 'RB'), ('like', 'VB'), ('to', 'TO'), ('repeat', 'VB'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('nsubj', 3, 2), ('dep', 1, 3), ('obj', 3, 4), ('advmod', 3, 5), ('cc', 11, 6), ('nsubj', 11, 7), ('cop', 11, 8), ('det', 11, 9), ('amod', 11, 10), ('conj', 3, 11), ('obj', 11, 12), ('nsubj', 16, 13), ('aux', 16, 14), ('advmod', 16, 15), ('parataxis', 11, 16), ('mark', 18, 17), ('xcomp', 16, 18), ('punct', 3, 19), ('punct', 3, 20)]",I 
630,254491_3,ob,(implicito),'Really annoying...' ,,,,,,,"[(""'"", '``'), ('Really', 'RB'), ('annoying', 'JJ'), ('...', ':'), (""'"", ""''"")]","[('ROOT', 0, 3), ('punct', 3, 1), ('advmod', 3, 2), ('punct', 3, 4), ('punct', 3, 5)]",it I it I 
631,320389_2,ob,to re-implement,'I am developing my own application over 1 year in tapestry 5 with extensive use of javascript and it drives me really mad to re-implement parts of my javascripts each time when tapestry updates from 5.1.0.x to 5.1.0.x+1.',,,,,I ,,"[(""'"", '``'), ('I', 'PRP'), ('am', 'VBP'), ('developing', 'VBG'), ('my', 'PRP$'), ('own', 'JJ'), ('application', 'NN'), ('over', 'IN'), ('1', 'CD'), ('year', 'NN'), ('in', 'IN'), ('tapestry', 'NN'), ('5', 'CD'), ('with', 'IN'), ('extensive', 'JJ'), ('use', 'NN'), ('of', 'IN'), ('javascript', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('drives', 'VBZ'), ('me', 'PRP'), ('really', 'RB'), ('mad', 'JJ'), ('to', 'IN'), ('re-implement', 'JJ'), ('parts', 'NNS'), ('of', 'IN'), ('my', 'PRP$'), ('javascripts', 'NNS'), ('each', 'DT'), ('time', 'NN'), ('when', 'WRB'), ('tapestry', 'NN'), ('updates', 'NNS'), ('from', 'IN'), ('5.1.0.x', 'CD'), ('to', 'IN'), ('5.1.0.x', 'CD'), ('1', 'CD'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 4), ('punct', 4, 1), ('nsubj', 4, 2), ('aux', 4, 3), ('nmod:poss', 7, 5), ('amod', 7, 6), ('obj', 4, 7), ('advmod', 9, 8), ('nummod', 10, 9), ('obl:tmod', 4, 10), ('case', 12, 11), ('obl', 4, 12), ('nummod', 12, 13), ('case', 16, 14), ('amod', 16, 15), ('obl', 4, 16), ('case', 18, 17), ('nmod', 16, 18), ('cc', 21, 19), ('nsubj', 21, 20), ('conj', 4, 21), ('obj', 21, 22), ('advmod', 24, 23), ('xcomp', 21, 24), ('case', 27, 25), ('amod', 27, 26), ('obl', 24, 27), ('case', 30, 28), ('nmod:poss', 30, 29), ('nmod', 27, 30), ('det', 32, 31), ('obl:tmod', 21, 32), ('dep', 32, 33), ('compound', 35, 34), ('dep', 33, 35), ('case', 37, 36), ('nmod', 35, 37), ('advmod', 39, 38), ('nummod', 40, 39), ('dep', 37, 40), ('punct', 35, 41), ('punct', 35, 42)]",
632,309786_3,ob,(‘comment) fix’,'I will check the modeline because I do hate the 'comment fix'.' ,,,,,I ,I ,"[(""'"", '``'), ('I', 'PRP'), ('will', 'MD'), ('check', 'VB'), ('the', 'DT'), ('modeline', 'NN'), ('because', 'IN'), ('I', 'PRP'), ('do', 'VBP'), ('hate', 'VB'), ('the', 'DT'), (""'"", '``'), ('comment', 'NN'), ('fix', 'NN'), (""'"", ""''""), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 4), ('punct', 4, 1), ('nsubj', 4, 2), ('aux', 4, 3), ('det', 6, 5), ('obj', 4, 6), ('mark', 10, 7), ('nsubj', 10, 8), ('aux', 10, 9), ('advcl', 4, 10), ('det', 14, 11), ('punct', 14, 12), ('compound', 14, 13), ('obj', 10, 14), ('punct', 14, 15), ('punct', 4, 16), ('punct', 4, 17)]",it I 
633,811834_5,self,me,'Obviously there are no params for the state stupid me.' ,,,,,,,"[(""'"", '``'), ('Obviously', 'RB'), ('there', 'EX'), ('are', 'VBP'), ('no', 'DT'), ('params', 'NNS'), ('for', 'IN'), ('the', 'DT'), ('state', 'NN'), ('stupid', 'JJ'), ('me', 'PRP'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 4), ('punct', 4, 1), ('advmod', 4, 2), ('expl', 4, 3), ('det', 6, 5), ('nsubj', 4, 6), ('case', 9, 7), ('det', 9, 8), ('nmod', 6, 9), ('amod', 11, 10), ('dep', 6, 11), ('punct', 4, 12), ('punct', 4, 13)]",I I 
634,329492_1,ob,question,'So dumb question.' ,,,,,,,"[(""'"", '``'), ('So', 'RB'), ('dumb', 'JJ'), ('question', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 4), ('punct', 4, 1), ('advmod', 3, 2), ('amod', 4, 3), ('punct', 4, 5), ('punct', 4, 6)]",
635,316192_2,ob,this,'This is really ugly because it requires to 'copy' the whole code and make some additions.' ,,,,,,,"[(""'"", '``'), ('This', 'DT'), ('is', 'VBZ'), ('really', 'RB'), ('ugly', 'JJ'), ('because', 'IN'), ('it', 'PRP'), ('requires', 'VBZ'), ('to', 'TO'), (""'"", '``'), ('copy', 'VB'), (""'"", ""''""), ('the', 'DT'), ('whole', 'JJ'), ('code', 'NN'), ('and', 'CC'), ('make', 'VB'), ('some', 'DT'), ('additions', 'NNS'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('nsubj', 5, 2), ('cop', 5, 3), ('advmod', 5, 4), ('dep', 1, 5), ('mark', 8, 6), ('nsubj', 8, 7), ('advcl', 5, 8), ('mark', 11, 9), ('punct', 11, 10), ('xcomp', 8, 11), ('punct', 11, 12), ('det', 15, 13), ('amod', 15, 14), ('obj', 11, 15), ('cc', 17, 16), ('conj', 11, 17), ('det', 19, 18), ('obj', 17, 19), ('punct', 5, 20), ('punct', 5, 21)]",
636,689482_1,ob,junit (implicito),'michael i guess junit from my eclipse != junit from ant because it passes in eclipse...annoying I will fix the test so it runs correctly from ant.' ,,,,,,i ,"[(""'"", '``'), ('michael', 'NN'), ('i', 'PRP'), ('guess', 'VBP'), ('junit', 'NN'), ('from', 'IN'), ('my', 'PRP$'), ('eclipse', 'NN'), ('!', '.'), ('=', 'SYM'), ('junit', 'FW'), ('from', 'IN'), ('ant', 'NN'), ('because', 'IN'), ('it', 'PRP'), ('passes', 'VBZ'), ('in', 'IN'), ('eclipse', 'NN'), ('...', ':'), ('annoying', 'JJ'), ('I', 'PRP'), ('will', 'MD'), ('fix', 'VB'), ('the', 'DT'), ('test', 'NN'), ('so', 'IN'), ('it', 'PRP'), ('runs', 'VBZ'), ('correctly', 'RB'), ('from', 'IN'), ('ant', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 4), ('punct', 4, 1), ('nsubj', 4, 2), ('nsubj', 4, 3), ('obj', 4, 5), ('case', 8, 6), ('nmod:poss', 8, 7), ('obl', 4, 8), ('punct', 4, 9), ('ROOT', 0, 2), ('dep', 2, 1), ('case', 4, 3), ('nmod', 2, 4), ('mark', 7, 5), ('nsubj', 7, 6), ('dep', 2, 7), ('case', 9, 8), ('obl', 7, 9), ('punct', 2, 10), ('advmod', 14, 11), ('nsubj', 14, 12), ('aux', 14, 13), ('parataxis', 2, 14), ('det', 16, 15), ('obj', 14, 16), ('mark', 19, 17), ('nsubj', 19, 18), ('advcl', 14, 19), ('advmod', 19, 20), ('case', 22, 21), ('obl', 19, 22), ('punct', 2, 23), ('ROOT', 0, 1)]",
637,307540_12,ob,code,' Some of the code is pretty ugly and there are no test cases defined.' ,,,,,,,"[(""'"", '``'), ('Some', 'DT'), ('of', 'IN'), ('the', 'DT'), ('code', 'NN'), ('is', 'VBZ'), ('pretty', 'RB'), ('ugly', 'JJ'), ('and', 'CC'), ('there', 'EX'), ('are', 'VBP'), ('no', 'DT'), ('test', 'NN'), ('cases', 'NNS'), ('defined', 'VBN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('nsubj', 8, 2), ('case', 5, 3), ('det', 5, 4), ('nmod', 2, 5), ('cop', 8, 6), ('advmod', 8, 7), ('dep', 1, 8), ('cc', 11, 9), ('expl', 11, 10), ('conj', 8, 11), ('det', 14, 12), ('compound', 14, 13), ('nsubj:pass', 15, 14), ('xcomp', 11, 15), ('punct', 8, 16), ('punct', 8, 17)]",i 
638,253514_3,ob,process,'Here is some information about this process I also think that this process is quite annoying because everytime m2e gets the idea of building the uimaj-ep-textmarker-engine or the uimaj-ep-runtime project it breaks both jars since the unpack-dependencies is deativated.',,,,,,I ,"[(""'"", '``'), ('Here', 'RB'), ('is', 'VBZ'), ('some', 'DT'), ('information', 'NN'), ('about', 'IN'), ('this', 'DT'), ('process', 'NN'), ('I', 'PRP'), ('also', 'RB'), ('think', 'VBP'), ('that', 'IN'), ('this', 'DT'), ('process', 'NN'), ('is', 'VBZ'), ('quite', 'RB'), ('annoying', 'JJ'), ('because', 'IN'), ('everytime', 'NN'), ('m2e', 'NN'), ('gets', 'VBZ'), ('the', 'DT'), ('idea', 'NN'), ('of', 'IN'), ('building', 'VBG'), ('the', 'DT'), ('uimaj', 'NN'), ('-', 'HYPH'), ('ep', 'NN'), ('-', 'HYPH'), ('textmarker', 'NN'), ('-', 'HYPH'), ('engine', 'NN'), ('or', 'CC'), ('the', 'DT'), ('uimaj', 'NN'), ('-', 'HYPH'), ('ep', 'NN'), ('-', 'HYPH'), ('runtime', 'NN'), ('project', 'NN'), ('it', 'PRP'), ('breaks', 'VBZ'), ('both', 'DT'), ('jars', 'NNS'), ('since', 'IN'), ('the', 'DT'), ('unpack', 'NN'), ('-', 'HYPH'), ('dependencies', 'NNS'), ('is', 'VBZ'), ('deativated', 'VBN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 5), ('punct', 5, 1), ('nsubj', 5, 2), ('cop', 5, 3), ('det', 5, 4), ('case', 8, 6), ('det', 8, 7), ('nmod', 5, 8), ('nsubj', 11, 9), ('advmod', 11, 10), ('parataxis', 5, 11), ('mark', 17, 12), ('det', 14, 13), ('nsubj', 17, 14), ('cop', 17, 15), ('advmod', 17, 16), ('ccomp', 11, 17), ('mark', 21, 18), ('compound', 20, 19), ('nsubj', 21, 20), ('advcl', 17, 21), ('det', 23, 22), ('obj', 21, 23), ('case', 25, 24), ('acl', 23, 25), ('det', 33, 26), ('compound', 33, 27), ('punct', 33, 28), ('compound', 33, 29), ('punct', 33, 30), ('compound', 33, 31), ('punct', 33, 32), ('obj', 25, 33), ('cc', 41, 34), ('det', 41, 35), ('compound', 40, 36), ('punct', 40, 37), ('compound', 40, 38), ('punct', 40, 39), ('compound', 41, 40), ('conj', 33, 41), ('nsubj', 43, 42), ('parataxis', 21, 43), ('det', 45, 44), ('obj', 43, 45), ('mark', 52, 46), ('det', 50, 47), ('compound', 50, 48), ('punct', 50, 49), ('nsubj:pass', 52, 50), ('aux:pass', 52, 51), ('advcl', 43, 52), ('punct', 5, 53), ('punct', 5, 54)]",
639,676191_1,ob,support,'We removed support for stupid GZIP compression support in stored fields in 3.0.',,,,,We ,,"[(""'"", '``'), ('We', 'PRP'), ('removed', 'VBD'), ('support', 'NN'), ('for', 'IN'), ('stupid', 'JJ'), ('GZIP', 'NN'), ('compression', 'NN'), ('support', 'NN'), ('in', 'IN'), ('stored', 'VBN'), ('fields', 'NNS'), ('in', 'IN'), ('3.0', 'CD'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 3), ('punct', 3, 1), ('nsubj', 3, 2), ('obj', 3, 4), ('case', 9, 5), ('amod', 9, 6), ('compound', 9, 7), ('compound', 9, 8), ('nmod', 4, 9), ('case', 12, 10), ('amod', 12, 11), ('nmod', 9, 12), ('case', 14, 13), ('obl', 3, 14), ('punct', 3, 15), ('punct', 3, 16)]",it I 
640,736384_2,self,me,'How stupid of me.' ,,,,,,,"[(""'"", '``'), ('How', 'WRB'), ('stupid', 'JJ'), ('of', 'IN'), ('me', 'PRP'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('advmod', 3, 2), ('dep', 1, 3), ('case', 5, 4), ('obl', 3, 5), ('punct', 3, 6), ('punct', 3, 7)]",We 
641,1691543_1,ob,patch,'Slightly better but still ugly patch.' ,,,,,,,"[(""'"", '``'), ('Slightly', 'RB'), ('better', 'JJR'), ('but', 'CC'), ('still', 'RB'), ('ugly', 'JJ'), ('patch', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('advmod', 3, 2), ('dep', 1, 3), ('cc', 7, 4), ('advmod', 7, 5), ('amod', 7, 6), ('conj', 3, 7), ('punct', 3, 8), ('punct', 3, 9)]",
642,315849_1,self,I (implicito),'OMG....I kept ignoring the little voice in my head that kept telling me to go look at the portlet code because I rememered reading something about being able to render different response types to different portions of a page.' ,,,,,,,"[(""'"", '``'), ('OMG', 'UH'), ('....', ','), ('I', 'PRP'), ('kept', 'VBD'), ('ignoring', 'VBG'), ('the', 'DT'), ('little', 'JJ'), ('voice', 'NN'), ('in', 'IN'), ('my', 'PRP$'), ('head', 'NN'), ('that', 'WDT'), ('kept', 'VBD'), ('telling', 'VBG'), ('me', 'PRP'), ('to', 'TO'), ('go', 'VB'), ('look', 'VB'), ('at', 'IN'), ('the', 'DT'), ('portlet', 'NN'), ('code', 'NN'), ('because', 'IN'), ('I', 'PRP'), ('rememered', 'VBD'), ('reading', 'VBG'), ('something', 'NN'), ('about', 'IN'), ('being', 'VBG'), ('able', 'JJ'), ('to', 'TO'), ('render', 'VB'), ('different', 'JJ'), ('response', 'NN'), ('types', 'NNS'), ('to', 'IN'), ('different', 'JJ'), ('portions', 'NNS'), ('of', 'IN'), ('a', 'DT'), ('page', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 5), ('punct', 5, 1), ('discourse', 5, 2), ('punct', 5, 3), ('nsubj', 5, 4), ('xcomp', 5, 6), ('det', 9, 7), ('amod', 9, 8), ('obj', 6, 9), ('case', 12, 10), ('nmod:poss', 12, 11), ('obl', 6, 12), ('nsubj', 14, 13), ('ccomp', 6, 14), ('xcomp', 14, 15), ('obj', 15, 16), ('mark', 18, 17), ('xcomp', 15, 18), ('xcomp', 18, 19), ('case', 23, 20), ('det', 23, 21), ('compound', 23, 22), ('obl', 19, 23), ('mark', 26, 24), ('nsubj', 26, 25), ('advcl', 14, 26), ('dep', 26, 27), ('obj', 27, 28), ('mark', 31, 29), ('cop', 31, 30), ('acl', 28, 31), ('mark', 33, 32), ('xcomp', 31, 33), ('amod', 36, 34), ('compound', 36, 35), ('obj', 33, 36), ('case', 39, 37), ('amod', 39, 38), ('obl', 33, 39), ('case', 42, 40), ('det', 42, 41), ('nmod', 39, 42), ('punct', 5, 43), ('punct', 5, 44)]",
643,707984_1,self,I (implicito),'head desk That was a stupid mistake on my part.' ,,,,,,,"[(""'"", '``'), ('head', 'NN'), ('desk', 'NN'), ('That', 'WDT'), ('was', 'VBD'), ('a', 'DT'), ('stupid', 'JJ'), ('mistake', 'NN'), ('on', 'IN'), ('my', 'PRP$'), ('part', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 8), ('punct', 8, 1), ('compound', 3, 2), ('nsubj', 8, 3), ('nsubj', 8, 4), ('cop', 8, 5), ('det', 8, 6), ('amod', 8, 7), ('case', 11, 9), ('nmod:poss', 11, 10), ('nmod', 8, 11), ('punct', 8, 12), ('punct', 8, 13)]",
644,2051552_1,ob,this,'This is indeed quite annoying since the eclipse classpath gets polluted you can accidentially use classes from the runtime deps in the code and you are in for surprises if you compile with maven only.' ,,,,,you ,you ,"[(""'"", '``'), ('This', 'DT'), ('is', 'VBZ'), ('indeed', 'RB'), ('quite', 'RB'), ('annoying', 'JJ'), ('since', 'IN'), ('the', 'DT'), ('eclipse', 'NN'), ('classpath', 'NN'), ('gets', 'VBZ'), ('polluted', 'VBN'), ('you', 'PRP'), ('can', 'MD'), ('accidentially', 'RB'), ('use', 'VB'), ('classes', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('runtime', 'NN'), ('deps', 'VBZ'), ('in', 'IN'), ('the', 'DT'), ('code', 'NN'), ('and', 'CC'), ('you', 'PRP'), ('are', 'VBP'), ('in', 'IN'), ('for', 'IN'), ('surprises', 'NNS'), ('if', 'IN'), ('you', 'PRP'), ('compile', 'VBP'), ('with', 'IN'), ('maven', 'NN'), ('only', 'RB'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('nsubj', 6, 2), ('cop', 6, 3), ('advmod', 6, 4), ('advmod', 6, 5), ('dep', 1, 6), ('mark', 12, 7), ('det', 10, 8), ('compound', 10, 9), ('nsubj:pass', 12, 10), ('aux:pass', 12, 11), ('advcl', 16, 12), ('nsubj', 16, 13), ('aux', 16, 14), ('advmod', 16, 15), ('dep', 6, 16), ('obj', 16, 17), ('case', 20, 18), ('det', 20, 19), ('obl', 16, 20), ('dep', 20, 21), ('case', 24, 22), ('det', 24, 23), ('nmod', 20, 24), ('cc', 30, 25), ('nsubj', 30, 26), ('cop', 30, 27), ('case', 30, 28), ('case', 30, 29), ('conj', 16, 30), ('mark', 33, 31), ('nsubj', 33, 32), ('advcl', 30, 33), ('case', 35, 34), ('obl', 33, 35), ('advmod', 33, 36), ('punct', 6, 37), ('punct', 6, 38)]",
645,314650_1,oth,guys,'Seems like that this browser bug in IE is still not fixed even in IE7 I hate those MS guys This causes the problem because the SELECT boxes are updated via innerHTML. ',,,,,I ,,"[(""'"", '``'), ('Seems', 'VBZ'), ('like', 'IN'), ('that', 'IN'), ('this', 'DT'), ('browser', 'NN'), ('bug', 'NN'), ('in', 'IN'), ('IE', 'NNP'), ('is', 'VBZ'), ('still', 'RB'), ('not', 'RB'), ('fixed', 'VBN'), ('even', 'RB'), ('in', 'IN'), ('IE7', 'NNP'), ('I', 'PRP'), ('hate', 'VBP'), ('those', 'DT'), ('MS', 'NNP'), ('guys', 'NNS'), ('This', 'DT'), ('causes', 'VBZ'), ('the', 'DT'), ('problem', 'NN'), ('because', 'IN'), ('the', 'DT'), ('SELECT', 'NN'), ('boxes', 'NNS'), ('are', 'VBP'), ('updated', 'VBN'), ('via', 'IN'), ('innerHTML', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 2), ('punct', 2, 1), ('mark', 13, 3), ('mark', 13, 4), ('det', 7, 5), ('compound', 7, 6), ('nsubj:pass', 13, 7), ('case', 9, 8), ('nmod', 7, 9), ('aux:pass', 13, 10), ('advmod', 13, 11), ('advmod', 13, 12), ('advcl', 2, 13), ('advmod', 16, 14), ('case', 16, 15), ('obl', 13, 16), ('nsubj', 18, 17), ('parataxis', 2, 18), ('det', 21, 19), ('compound', 21, 20), ('obj', 18, 21), ('nsubj', 23, 22), ('dep', 18, 23), ('det', 25, 24), ('obj', 23, 25), ('mark', 31, 26), ('det', 29, 27), ('compound', 29, 28), ('nsubj:pass', 31, 29), ('aux:pass', 31, 30), ('advcl', 2, 31), ('case', 33, 32), ('obl', 31, 33), ('punct', 2, 34), ('punct', 2, 35)]",you you 
646,305687_8,ob,to have to keep…,'Might be more trouble than it is worth but I would hate to have to keep track of the same bugfixes in two locations.' ,,,,,,,"[(""'"", '``'), ('Might', 'MD'), ('be', 'VB'), ('more', 'JJR'), ('trouble', 'NN'), ('than', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('worth', 'JJ'), ('but', 'CC'), ('I', 'PRP'), ('would', 'MD'), ('hate', 'VB'), ('to', 'TO'), ('have', 'VB'), ('to', 'TO'), ('keep', 'VB'), ('track', 'NN'), ('of', 'IN'), ('the', 'DT'), ('same', 'JJ'), ('bugfixes', 'NNS'), ('in', 'IN'), ('two', 'CD'), ('locations', 'NNS'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 5), ('punct', 5, 1), ('aux', 5, 2), ('cop', 5, 3), ('amod', 5, 4), ('mark', 9, 6), ('nsubj', 9, 7), ('cop', 9, 8), ('dep', 5, 9), ('cc', 13, 10), ('nsubj', 13, 11), ('aux', 13, 12), ('conj', 9, 13), ('mark', 15, 14), ('xcomp', 13, 15), ('mark', 17, 16), ('ccomp', 15, 17), ('obj', 17, 18), ('case', 22, 19), ('det', 22, 20), ('amod', 22, 21), ('obl', 17, 22), ('case', 25, 23), ('nummod', 25, 24), ('nmod', 22, 25), ('punct', 5, 26), ('punct', 5, 27)]",I 
647,944255_2,ob,questions,'Now come the dumb questions.' ,,,,,,,"[(""'"", '``'), ('Now', 'RB'), ('come', 'VB'), ('the', 'DT'), ('dumb', 'JJ'), ('questions', 'NNS'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 3), ('punct', 3, 1), ('advmod', 3, 2), ('det', 6, 4), ('amod', 6, 5), ('obj', 3, 6), ('punct', 3, 7), ('punct', 3, 8)]",
648,427978_1,self,I (implicito),'CORRECTION/ADDENDUM It is late and I am doing stupid typos.' ,,,,,I ,It ,"[(""'"", '``'), ('CORRECTION', 'NN'), ('/', 'HYPH'), ('ADDENDUM', 'NN'), ('It', 'PRP'), ('is', 'VBZ'), ('late', 'JJ'), ('and', 'CC'), ('I', 'PRP'), ('am', 'VBP'), ('doing', 'VBG'), ('stupid', 'JJ'), ('typos', 'NNS'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('compound', 4, 2), ('punct', 4, 3), ('compound', 5, 4), ('nsubj', 7, 5), ('cop', 7, 6), ('dep', 1, 7), ('cc', 11, 8), ('nsubj', 11, 9), ('aux', 11, 10), ('conj', 7, 11), ('amod', 13, 12), ('obj', 11, 13), ('punct', 7, 14), ('punct', 7, 15)]",
